Samples,Amplitude(mV)
943,0.20625
944,0.203027
945,0.20625
946,0.203027
947,0.199805
948,0.196582
949,0.196582
950,0.196582
951,0.190137
952,0.190137
953,0.186914
954,0.190137
955,0.190137
956,0.190137
957,0.186914
958,0.183691
959,0.183691
960,0.183691
961,0.183691
962,0.183691
963,0.183691
964,0.177246
965,0.177246
966,0.174023
967,0.170801
968,0.174023
969,0.170801
970,0.174023
971,0.174023
972,0.170801
973,0.170801
974,0.174023
975,0.170801
976,0.170801
977,0.167578
978,0.167578
979,0.167578
980,0.167578
981,0.167578
982,0.167578
983,0.167578
984,0.164355
985,0.161133
986,0.161133
987,0.15791
988,0.15791
989,0.15791
990,0.15791
991,0.154687
992,0.151465
993,0.151465
994,0.151465
995,0.148242
996,0.151465
997,0.148242
998,0.14502
999,0.14502
1000,0.14502
1001,0.148242
1002,0.14502
1003,0.148242
1004,0.148242
1005,0.151465
1006,0.15791
1007,0.161133
1008,0.167578
1009,0.170801
1010,0.177246
1011,0.183691
1012,0.190137
1013,0.203027
1014,0.209473
1015,0.219141
1016,0.225586
1017,0.232031
1018,0.238477
1019,0.241699
1020,0.251367
1021,0.251367
1022,0.257812
1023,0.257812
1024,0.264258
1025,0.261035
1026,0.261035
1027,0.261035
1028,0.261035
1029,0.26748
1030,0.270703
1031,0.270703
1032,0.270703
1033,0.270703
1034,0.273926
1035,0.273926
1036,0.273926
1037,0.277148
1038,0.273926
1039,0.277148
1040,0.277148
1041,0.277148
1042,0.277148
1043,0.277148
1044,0.273926
1045,0.273926
1046,0.270703
1047,0.270703
1048,0.273926
1049,0.277148
1050,0.277148
1051,0.277148
1052,0.273926
1053,0.273926
1054,0.270703
1055,0.26748
1056,0.26748
1057,0.26748
1058,0.26748
1059,0.26748
1060,0.26748
1061,0.264258
1062,0.261035
1063,0.26748
1064,0.264258
1065,0.264258
1066,0.261035
1067,0.261035
1068,0.261035
1069,0.257812
1070,0.25459
1071,0.251367
1072,0.248145
1073,0.251367
1074,0.251367
1075,0.251367
1076,0.248145
1077,0.248145
1078,0.244922
1079,0.241699
1080,0.244922
1081,0.241699
1082,0.244922
1083,0.244922
1084,0.244922
1085,0.241699
1086,0.238477
1087,0.241699
1088,0.241699
1089,0.244922
1090,0.244922
1091,0.241699
1092,0.241699
1093,0.238477
1094,0.241699
1095,0.238477
1096,0.241699
1097,0.241699
1098,0.241699
1099,0.241699
1100,0.241699
1101,0.241699
1102,0.238477
1103,0.241699
1104,0.238477
1105,0.238477
1106,0.238477
1107,0.235254
1108,0.238477
1109,0.238477
1110,0.235254
1111,0.235254
1112,0.235254
1113,0.235254
1114,0.235254
1115,0.235254
1116,0.235254
1117,0.235254
1118,0.235254
1119,0.232031
1120,0.228809
1121,0.222363
1122,0.225586
1123,0.225586
1124,0.225586
1125,0.225586
1126,0.222363
1127,0.219141
1128,0.222363
1129,0.222363
1130,0.219141
1131,0.215918
1132,0.215918
1133,0.212695
1134,0.215918
1135,0.215918
1136,0.215918
1137,0.209473
1138,0.209473
1139,0.212695
1140,0.209473
1141,0.209473
1142,0.203027
1143,0.20625
1144,0.20625
1145,0.203027
1146,0.199805
1147,0.196582
1148,0.196582
1149,0.196582
1150,0.196582
1151,0.193359
1152,0.190137
1153,0.190137
1154,0.190137
1155,0.190137
1156,0.183691
1157,0.183691
1158,0.180469
1159,0.183691
1160,0.180469
1161,0.177246
1162,0.174023
1163,0.174023
1164,0.170801
1165,0.170801
1166,0.177246
1167,0.170801
1168,0.170801
1169,0.167578
1170,0.167578
1171,0.167578
1172,0.164355
1173,0.164355
1174,0.167578
1175,0.164355
1176,0.164355
1177,0.15791
1178,0.15791
1179,0.15791
1180,0.15791
1181,0.154687
1182,0.151465
1183,0.15791
1184,0.154687
1185,0.154687
1186,0.154687
1187,0.151465
1188,0.148242
1189,0.14502
1190,0.141797
1191,0.141797
1192,0.138574
1193,0.141797
1194,0.138574
1195,0.141797
1196,0.135352
1197,0.138574
1198,0.138574
1199,0.138574
1200,0.138574
1201,0.141797
1202,0.148242
1203,0.15791
1204,0.161133
1205,0.167578
1206,0.170801
1207,0.177246
1208,0.186914
1209,0.209473
1210,0.219141
1211,0.225586
1212,0.235254
1213,0.238477
1214,0.241699
1215,0.248145
1216,0.251367
1217,0.25459
1218,0.257812
1219,0.25459
1220,0.261035
1221,0.264258
1222,0.261035
1223,0.264258
